epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.55649,2.67857,3.75396,1.30645,0.00189,0.03175,0.00097,0.00031,2.70556,3.67326,1.24714,6e-05,6e-05,6e-05
2,3.30033,2.64538,3.67476,1.2997,0.00691,0.11905,0.00521,0.00188,2.26819,3.58069,1.07394,0.000139538,0.000139538,0.000139538
3,3.94024,2.41328,3.1578,1.125,0.04041,0.78571,0.06936,0.02478,1.8629,3.41093,0.95649,0.000218548,0.000218548,0.000218548
4,4.58081,2.22223,2.34562,1.03749,0.04309,0.96825,0.12981,0.04775,1.92088,3.22402,0.94054,0.00029703,0.00029703,0.00029703
5,5.22498,2.00756,1.8189,0.99421,0.03563,0.96032,0.38672,0.12309,1.99327,2.94441,0.95472,0.000374984,0.000374984,0.000374984
6,5.83377,2.19305,1.52404,1.03207,0.03415,1,0.5174,0.18667,1.88113,2.64444,0.9288,0.00045241,0.00045241,0.00045241
7,6.44183,2.13286,1.40623,1.01721,0.62863,0.6986,0.6355,0.20153,1.99651,2.36249,0.95021,0.000529308,0.000529308,0.000529308
8,7.08969,2.11346,1.30444,1.00597,0.85331,0.27703,0.78866,0.27792,1.95441,2.11228,0.95084,0.000605678,0.000605678,0.000605678
9,7.65329,1.96284,1.1843,0.97785,0.9306,0.42569,0.86797,0.35056,1.88711,1.93695,0.93976,0.00068152,0.00068152,0.00068152
10,8.2378,1.91619,1.13938,0.96224,0.89059,0.58143,0.83532,0.30836,1.92722,1.83673,0.94494,0.000756834,0.000756834,0.000756834
11,8.77012,1.96949,1.19138,0.98562,0.91503,0.65873,0.84632,0.33338,1.93927,1.68356,0.94831,0.00083162,0.00083162,0.00083162
12,9.32432,2.02952,1.20996,0.99345,0.90775,0.70291,0.85905,0.39248,1.85894,1.5459,0.94363,0.000905878,0.000905878,0.000905878
13,9.91684,1.93313,1.11685,0.95308,0.96091,0.65873,0.87709,0.40509,1.86857,1.60102,0.94581,0.000979608,0.000979608,0.000979608
14,10.5018,1.97505,1.14545,0.98916,0.94703,0.56761,0.85291,0.35342,1.87175,1.76321,0.95237,0.00105281,0.00105281,0.00105281
15,11.1174,2.02881,1.17945,0.98794,0.86984,0.46825,0.78761,0.3113,1.96449,1.8538,0.97766,0.00112548,0.00112548,0.00112548
16,11.7151,2.02192,1.15863,0.987,0.83206,0.47188,0.75318,0.31024,2.04488,1.85776,0.99041,0.00119763,0.00119763,0.00119763
17,12.3028,2.0328,1.09839,0.97694,0.85884,0.53115,0.77974,0.31369,2.0641,1.74636,0.98934,0.00126925,0.00126925,0.00126925
18,12.9294,1.97969,1.09044,0.99381,0.79115,0.63137,0.76801,0.33171,1.91371,1.60306,0.96628,0.00134034,0.00134034,0.00134034
19,13.4755,1.92277,1.05709,0.96102,0.81221,0.72088,0.85478,0.3857,1.84468,1.37337,0.95179,0.0014109,0.0014109,0.0014109
20,14.0383,1.85875,1.04517,0.96071,0.83879,0.82589,0.89857,0.40392,1.83836,1.19759,0.95271,0.00148093,0.00148093,0.00148093
21,14.6099,1.84983,1.02847,0.96024,0.84222,0.86508,0.91895,0.41954,1.83558,1.0658,0.94893,0.00155044,0.00155044,0.00155044
22,15.1659,1.80338,0.96242,0.96126,0.92585,0.89184,0.95161,0.43675,1.90576,1.0179,0.95154,0.00161942,0.00161942,0.00161942
23,15.7039,1.9674,1.01913,0.96936,0.92585,0.89184,0.95161,0.43675,1.90576,1.0179,0.95154,0.00168787,0.00168787,0.00168787
24,16.3059,1.83644,0.97814,0.9701,0.911,0.89364,0.92036,0.40231,1.90413,1.09013,0.94707,0.00175579,0.00175579,0.00175579
25,16.8623,1.89707,1.04688,0.96715,0.51605,0.64286,0.52983,0.17662,2.30977,1.27929,1.01618,0.00182318,0.00182318,0.00182318
26,17.4121,1.82891,1.01366,0.97339,0.56057,0.67834,0.58071,0.19855,2.28645,1.23208,1.02723,0.001835,0.001835,0.001835
27,17.9731,1.82071,0.9857,0.94476,0.67443,0.87137,0.85192,0.35028,1.97708,1.09739,0.94813,0.0018284,0.0018284,0.0018284
28,18.5126,1.90815,1.00895,0.95815,0.67443,0.87137,0.85192,0.35028,1.97708,1.09739,0.94813,0.0018218,0.0018218,0.0018218
29,19.0619,1.81978,1.00221,0.99227,0.74025,0.83688,0.85383,0.34061,2.00448,1.08646,0.94797,0.0018152,0.0018152,0.0018152
30,19.6137,1.9313,1.07184,0.95103,0.78162,0.88057,0.8552,0.29324,2.19361,1.11896,0.98496,0.0018086,0.0018086,0.0018086
31,20.1518,1.81873,0.92714,0.94315,0.77126,0.72222,0.74705,0.23384,2.23836,1.17057,0.98996,0.001802,0.001802,0.001802
32,20.6848,1.87322,1.04418,0.9645,0.82067,0.76984,0.78435,0.28936,2.07967,1.06394,0.97118,0.0017954,0.0017954,0.0017954
33,21.2152,1.86432,1.01158,0.97054,0.82067,0.76984,0.78435,0.28936,2.07967,1.06394,0.97118,0.0017888,0.0017888,0.0017888
34,21.794,1.88174,0.99215,0.96817,0.95862,0.91928,0.94901,0.42732,1.84082,0.89272,0.93758,0.0017822,0.0017822,0.0017822
35,22.4052,1.83563,0.93622,0.94586,0.95972,0.94538,0.96486,0.45848,1.76059,0.85197,0.92249,0.0017756,0.0017756,0.0017756
36,22.9697,1.88355,0.98303,0.96229,0.97089,0.92857,0.9639,0.45613,1.71696,0.85928,0.91286,0.001769,0.001769,0.001769
37,23.5316,1.80559,0.96533,0.95945,0.91508,0.94079,0.95142,0.46742,1.6983,0.84801,0.91168,0.0017624,0.0017624,0.0017624
38,24.099,1.76915,0.91794,0.97121,0.91508,0.94079,0.95142,0.46742,1.6983,0.84801,0.91168,0.0017558,0.0017558,0.0017558
39,24.6714,1.80036,0.93244,0.9694,0.92582,0.9127,0.95192,0.45043,1.74833,0.86819,0.92195,0.0017492,0.0017492,0.0017492
40,25.222,1.84165,0.9648,0.94482,0.8617,0.89011,0.9329,0.38806,1.83044,0.9288,0.93396,0.0017426,0.0017426,0.0017426
41,25.7763,1.78785,0.93835,0.96489,0.8895,0.92857,0.9361,0.42321,1.74817,0.90452,0.9183,0.001736,0.001736,0.001736
42,26.3669,1.75333,0.92594,0.96762,0.93926,0.93651,0.96297,0.46673,1.70622,0.84275,0.91568,0.0017294,0.0017294,0.0017294
43,26.9653,1.88568,0.99796,0.97041,0.93926,0.93651,0.96297,0.46673,1.70622,0.84275,0.91568,0.0017228,0.0017228,0.0017228
44,27.5592,1.8089,0.9036,0.94824,0.95178,0.93987,0.97064,0.45285,1.74733,0.82315,0.91547,0.0017162,0.0017162,0.0017162
45,28.1164,1.70809,0.89447,0.95035,0.92261,0.94617,0.95635,0.45889,1.66717,0.81474,0.9079,0.0017096,0.0017096,0.0017096
46,28.6662,1.84856,0.90827,0.94247,0.89291,0.92643,0.93582,0.43346,1.76626,0.82917,0.92529,0.001703,0.001703,0.001703
47,29.2139,1.86534,0.92953,0.96649,0.89642,0.89292,0.94459,0.4239,1.77088,0.84574,0.92691,0.0016964,0.0016964,0.0016964
48,29.8228,1.8449,0.90526,0.97842,0.89642,0.89292,0.94459,0.4239,1.77088,0.84574,0.92691,0.0016898,0.0016898,0.0016898
49,30.4368,1.78937,0.93788,0.93465,0.87624,0.89683,0.94545,0.43313,1.76121,0.86412,0.91869,0.0016832,0.0016832,0.0016832
50,30.9883,1.76838,0.91712,0.96111,0.85466,0.9127,0.9369,0.4502,1.73737,0.8567,0.91377,0.0016766,0.0016766,0.0016766
51,31.5841,1.78327,0.91116,0.94203,0.89385,0.93562,0.94378,0.49058,1.68403,0.79836,0.90602,0.00167,0.00167,0.00167
52,32.1483,1.74284,0.88584,0.94437,0.91086,0.92857,0.93142,0.48681,1.69619,0.78585,0.90824,0.0016634,0.0016634,0.0016634
53,32.7087,1.76928,0.88975,0.94627,0.91086,0.92857,0.93142,0.48681,1.69619,0.78585,0.90824,0.0016568,0.0016568,0.0016568
54,33.2592,1.75578,0.87805,0.95387,0.92691,0.93651,0.93973,0.48176,1.70843,0.78917,0.91148,0.0016502,0.0016502,0.0016502
55,33.8157,1.71241,0.88508,0.93333,0.94942,0.93651,0.95054,0.484,1.70483,0.77923,0.91109,0.0016436,0.0016436,0.0016436
56,34.3592,1.69909,0.89476,0.94736,0.95615,0.93651,0.95783,0.4907,1.7012,0.78708,0.90849,0.001637,0.001637,0.001637
57,34.9345,1.73164,0.85204,0.9221,0.94987,0.94444,0.95984,0.48797,1.67289,0.78523,0.90798,0.0016304,0.0016304,0.0016304
58,35.4609,1.69104,0.85131,0.92728,0.94987,0.94444,0.95984,0.48797,1.67289,0.78523,0.90798,0.0016238,0.0016238,0.0016238
59,36.0205,1.73601,0.87068,0.92905,0.9292,0.95238,0.96369,0.49946,1.66706,0.7952,0.90583,0.0016172,0.0016172,0.0016172
60,36.6091,1.76689,0.8743,0.92882,0.95222,0.96032,0.97297,0.49116,1.70761,0.77051,0.9093,0.0016106,0.0016106,0.0016106
61,37.165,1.66334,0.80673,0.91709,0.95423,0.96825,0.97539,0.49655,1.67642,0.77641,0.90726,0.001604,0.001604,0.001604
62,37.7148,1.68463,0.83296,0.93217,0.94788,0.97619,0.97363,0.4874,1.68098,0.79037,0.90707,0.0015974,0.0015974,0.0015974
63,38.2464,1.70959,0.87302,0.96288,0.94788,0.97619,0.97363,0.4874,1.68098,0.79037,0.90707,0.0015908,0.0015908,0.0015908
64,38.7908,1.80547,0.86866,0.92967,0.91014,0.96466,0.95685,0.46482,1.70986,0.81246,0.91135,0.0015842,0.0015842,0.0015842
65,39.3379,1.73598,0.85759,0.93574,0.90834,0.9438,0.95266,0.46513,1.75033,0.82717,0.9213,0.0015776,0.0015776,0.0015776
66,39.8921,1.76679,0.88533,0.95436,0.94159,0.96825,0.97227,0.46344,1.79187,0.80665,0.9288,0.001571,0.001571,0.001571
67,40.4633,1.71968,0.83924,0.93726,0.94733,0.95238,0.96089,0.47161,1.77392,0.80355,0.92404,0.0015644,0.0015644,0.0015644
68,40.9955,1.78451,0.89054,0.9345,0.94733,0.95238,0.96089,0.47161,1.77392,0.80355,0.92404,0.0015578,0.0015578,0.0015578
69,41.5843,1.80052,0.87445,0.92777,0.9284,0.95238,0.95941,0.48323,1.71065,0.80648,0.91718,0.0015512,0.0015512,0.0015512
70,42.1514,1.67062,0.85064,0.93403,0.9385,0.96895,0.96377,0.47869,1.70764,0.79595,0.91178,0.0015446,0.0015446,0.0015446
71,42.7436,1.68973,0.85823,0.94261,0.9641,0.96825,0.9748,0.47736,1.76311,0.77411,0.92089,0.001538,0.001538,0.001538
72,43.3242,1.66768,0.8677,0.9434,0.95283,0.9619,0.97564,0.43489,1.85268,0.80394,0.93703,0.0015314,0.0015314,0.0015314
73,43.8772,1.80803,0.85534,0.95111,0.95283,0.9619,0.97564,0.43489,1.85268,0.80394,0.93703,0.0015248,0.0015248,0.0015248
74,44.427,1.74954,0.84306,0.93884,0.94379,0.96825,0.9743,0.45776,1.78258,0.80467,0.92178,0.0015182,0.0015182,0.0015182
