epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.5673,3.09405,3.81938,1.36838,0.0019,0.03175,0.00098,0.00034,2.74897,3.67321,1.25562,0,0,0
2,3.22964,3.03637,3.81047,1.34723,0.0019,0.03175,0.00098,0.00034,2.74702,3.67504,1.25544,1.9934e-05,1.9934e-05,1.9934e-05
3,3.9588,3.04903,3.79167,1.35553,0.00191,0.03175,0.00099,0.00034,2.74578,3.67306,1.25613,3.9736e-05,3.9736e-05,3.9736e-05
4,4.61276,3.02471,3.80556,1.37103,0.00189,0.03175,0.00098,0.00034,2.73553,3.67379,1.25598,5.9406e-05,5.9406e-05,5.9406e-05
5,5.13411,3.10869,3.81148,1.38147,0.00189,0.03175,0.00098,0.00029,2.72941,3.67249,1.25497,7.8944e-05,7.8944e-05,7.8944e-05
6,5.64205,3.00239,3.79141,1.36937,0.0019,0.03175,0.00098,0.00029,2.71566,3.67186,1.25533,9.835e-05,9.835e-05,9.835e-05
7,6.15146,3.05497,3.80229,1.36598,0.0019,0.03175,0.00098,0.00027,2.70321,3.67244,1.2545,0.000117624,0.000117624,0.000117624
8,6.64666,2.9736,3.77706,1.37333,0.0019,0.03175,0.00098,0.00027,2.69888,3.67124,1.25612,0.000136766,0.000136766,0.000136766
9,7.16038,3.08685,3.79576,1.38745,0.0019,0.03175,0.00098,0.0002,2.69002,3.66971,1.25516,0.000155776,0.000155776,0.000155776
10,7.83509,3.13769,3.81073,1.37175,0.00882,0.15873,0.0062,0.00207,2.33697,3.58798,1.08692,0.000174654,0.000174654,0.000174654
11,8.45043,2.7237,3.59221,1.19563,0.01943,0.38889,0.03348,0.01057,1.98011,3.505,0.963,0.0001934,0.0001934,0.0001934
12,9.09552,2.57115,3.35544,1.12282,0.02929,0.68254,0.08915,0.02977,1.8991,3.42073,0.93342,0.000212014,0.000212014,0.000212014
13,9.76454,2.40065,3.06345,1.06777,0.03183,0.83333,0.10258,0.03629,1.84688,3.35244,0.92372,0.000230496,0.000230496,0.000230496
14,10.4106,2.38549,2.71279,1.04105,0.03152,0.85714,0.10113,0.03676,1.86093,3.29098,0.92387,0.000248846,0.000248846,0.000248846
15,11.0905,2.36672,2.35011,1.01776,0.03093,0.87302,0.12979,0.04925,1.93256,3.17504,0.94049,0.000267064,0.000267064,0.000267064
16,11.7466,2.34919,2.1066,1.02563,0.03108,0.89683,0.30289,0.12028,1.98632,3.05332,0.94191,0.00028515,0.00028515,0.00028515
17,12.3858,2.26797,1.82108,0.98981,0.03083,0.90476,0.46216,0.14599,1.95297,2.97325,0.93925,0.000303104,0.000303104,0.000303104
18,12.9927,2.20703,1.61095,0.97927,0.03152,0.92857,0.56231,0.16987,1.85429,2.87125,0.92835,0.000320926,0.000320926,0.000320926
19,13.6205,2.19596,1.45596,0.97284,0.03395,0.97619,0.58201,0.19335,1.84069,2.77232,0.9249,0.000338616,0.000338616,0.000338616
