epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.17428,3.08102,3.97014,1.32652,0.00728,0.13492,0.0047,0.00123,3.19934,4.76954,1.25423,0,0,0
2,5.17813,2.99594,3.94028,1.30153,0.00729,0.13492,0.00472,0.00132,3.19519,4.78324,1.25658,1.9934e-05,1.9934e-05,1.9934e-05
3,7.20531,3.05961,3.96315,1.32828,0.00857,0.15873,0.00538,0.00131,3.19662,4.77757,1.25909,3.9736e-05,3.9736e-05,3.9736e-05
4,8.96596,3.05694,3.9794,1.33181,0.00823,0.15079,0.00505,0.00123,3.20895,4.77095,1.25893,5.9406e-05,5.9406e-05,5.9406e-05
5,10.7541,3.06685,3.96293,1.31075,0.00829,0.15079,0.00505,0.00126,3.21355,4.76867,1.25929,7.8944e-05,7.8944e-05,7.8944e-05
6,12.5251,3.01187,3.98187,1.32041,0.00921,0.16667,0.00597,0.00138,3.21094,4.7635,1.25916,9.835e-05,9.835e-05,9.835e-05
7,14.3806,3.06023,3.95582,1.33068,0.01016,0.18254,0.00663,0.00144,3.20652,4.77038,1.2627,0.000117624,0.000117624,0.000117624
8,16.2425,3.0577,3.89394,1.3362,0.00986,0.1746,0.00623,0.00141,3.17919,4.77508,1.2594,0.000136766,0.000136766,0.000136766
9,18.0555,3.08713,3.92336,1.34441,0.01038,0.18254,0.00699,0.00149,3.16481,4.77534,1.25717,0.000155776,0.000155776,0.000155776
10,19.9516,3.15995,3.95915,1.34276,0.70331,0.6746,0.66992,0.23498,2.22091,1.32881,1.02333,0.000174654,0.000174654,0.000174654
11,22.4776,2.32961,1.62944,1.07321,0.84637,0.88095,0.87853,0.41321,1.77776,1.00273,0.94472,0.0001934,0.0001934,0.0001934
12,25.0075,2.23769,1.52678,1.04012,0.89143,0.84716,0.93621,0.4258,1.71484,1.19007,0.92753,0.000212014,0.000212014,0.000212014
13,27.6119,2.10803,1.14773,1.00447,0.81349,0.88889,0.90644,0.40373,1.80055,1.16495,0.93218,0.000230496,0.000230496,0.000230496
